state,avg_listingPrice_week_aug23_2017
Hawaii,905687
District Of Columbia,773286
California,697539
Massachusetts,602210
New York,565227
Colorado,538477
Utah,440946
Connecticut,435585
Oregon,416718
Florida,406803
Rhode Island,405450
Washington,378565
New Jersey,372916
Maryland,369454
Idaho,349000
Virginia,341015
Nevada,331971
Arizona,322398
Texas,320067
Montana,314959
New Hampshire,310914
Vermont,306034
Delaware,303971
Georgia,296535
Wyoming,291855
South Carolina,291636
Minnesota,290514
Illinois,277163
North Carolina,276389
Maine,275717
Tennessee,268692
Alaska,267404
New Mexico,254798
South Dakota,238163
Louisiana,232610
Nebraska,230000
North Dakota,226863
Pennsylvania,224090
Wisconsin,223480
Kentucky,213848
Alabama,212733
Michigan,212694
Missouri,204506
Oklahoma,201091
Mississippi,195390
Arkansas,191446
Indiana,190843
Ohio,190371
Kansas,187649
Iowa,185087
West Virginia,174865